AccessionName	Accession_ID	Surroundingcoverage	Windowcoverage	TDcopy
F1-203	3968	11.8580807741	19.6079900125	1.6535551061
F1-203	3968	11.8580807741	21.581772784	1.82000554687
F1-203	3968	11.8580807741	21.861423221	1.84358865802
F1-203	3968	11.8580807741	17.4481897628	1.47141768514
F1-203	3968	11.8580807741	19.8901373283	1.67734878074
F1-203	3968	11.8580807741	25.1011235955	2.11679478946
F1-203	3968	11.8580807741	22.9463171036	1.93507849549
F1-203	3968	11.8580807741	22.8002496879	1.92276053118
F1-203	3968	11.8580807741	23.8389513109	2.01035494403
F1-203	3968	11.8580807741	21.1086142322	1.78010376505
F1-203	3968	11.8580807741	18.138576779	1.5296384908
F1-203	3968	11.8580807741	20.9675405743	1.76820692773
F1-203	3968	11.8580807741	24.9275905119	2.10216062673
F1-203	3968	11.8580807741	27.9238451935	2.35483681766
F1-203	3968	11.8580807741	31.6816479401	2.67173487377
F1-203	3968	11.8580807741	28.9488139825	2.4412731313
F1-203	3968	11.8580807741	24.315855181	2.05057257109
F1-203	3968	11.8580807741	25.2034956305	2.12542789265
F1-203	3968	11.8580807741	28.8377028714	2.43190305589
F1-203	3968	11.8580807741	25.5655430712	2.15595959905
F1-203	3968	11.8580807741	20.0461922597	1.69050899902
F1-203	3968	11.8580807741	22.65917603	1.91086369386
F1-203	3968	11.8580807741	25.9825218477	2.19112370229
F1-203	3968	11.8580807741	29.2047440699	2.46285588928
F1-203	3968	11.8580807741	30.8626716604	2.60267004825
F1-203	3968	11.8580807741	29.0674157303	2.45127489719
F1-203	3968	11.8580807741	26.747815231	2.25566141272
F1-203	3968	11.8580807741	24.9575530587	2.10468738864
F1-203	3968	11.8580807741	24.5505617978	2.07036553938
F1-203	3968	11.8580807741	24.3670411985	2.05488912268
F1-203	3968	11.8580807741	27.8314606742	2.34704596844
F1-203	3968	11.8580807741	26.7415730337	2.25513500399
F1-203	3968	11.8580807741	24.4282147316	2.06004792825
F1-203	3968	11.8580807741	23.8414481898	2.01056550752
F1-203	3968	11.8580807741	26.3595505618	2.22291878965
F1-203	3968	11.8580807741	28.1485642946	2.37378753198
F1-203	3968	11.8580807741	21.5143570537	1.81432033257
F1-203	3968	11.8580807741	21.1323345818	1.78210411823
F1-203	3968	11.8580807741	22.7078651685	1.91496968196
F1-203	3968	11.8580807741	24.1498127341	2.03657009884
F1-203	3968	11.8580807741	24.2971285893	2.04899334489
F1-203	3968	11.8580807741	23.1323345818	1.95076547567
F1-203	3968	11.8580807741	22.5131086142	1.89854572955
F1-203	3968	11.8580807741	21.961298377	1.85201119772
F1-203	3968	11.8580807741	20.0661672909	1.69219350696
F1-203	3968	11.8580807741	20.4481897628	1.7244097213
F1-203	3968	11.8580807741	23.6716604245	1.99624719004
F1-203	3968	11.8580807741	21.7965043695	1.83811400722
F1-203	3968	11.8580807741	21.6641697878	1.82695414212
F1-203	3968	11.8580807741	25.7403245943	2.17069904352
F1-203	3968	11.8580807741	27.2559300874	2.29851108343
F1-203	3968	11.8580807741	24.8214731586	2.09321167831
F1-203	3968	11.8580807741	22.8114856429	1.92370806689
F1-203	3968	11.8580807741	26.5268414482	2.23702654364
F1-203	3968	11.8580807741	24.3033707865	2.04951975362
F1-203	3968	11.8580807741	20.0948813983	1.69461498712
F1-203	3968	11.8580807741	22.3570536829	1.88538551127
F1-203	3968	11.8580807741	22.7715355805	1.92033905102
F1-203	3968	11.8580807741	24.0786516854	2.03056903931
F1-203	3968	11.8580807741	26.9151061174	2.26976916671
F1-203	3968	11.8580807741	27.9225967541	2.35473153591
F1-203	3968	11.8580807741	26.3133583021	2.21902336504
F1-203	3968	11.8580807741	24.4057428215	2.05815285681
F1-203	3968	11.8580807741	24.7303370787	2.08552611083
F1-203	3968	11.8580807741	23.4594257179	1.97834929318
F1-203	3968	11.8580807741	24.2759051186	2.04720355521
